questao,resposta,confianca,em_branco,ambigua,fill_A,fill_B,fill_C,fill_D,fill_E
01,AMBIGUA,0.9937,False,True,0.0000,0.9716,0.0000,0.0000,0.9937
02,C,0.9874,False,False,0.0000,0.0000,0.9874,0.0000,0.0000
03,D,1.0000,False,False,0.0000,0.0000,0.0000,1.0000,0.0000
04,AMBIGUA,1.0000,False,True,1.0000,0.0000,1.0000,0.0000,0.0000
05,EM_BRANCO,0.3807,True,False,0.0000,0.0000,0.3807,0.0000,0.0000
06,EM_BRANCO,0.4423,True,False,0.0000,0.0000,0.0000,0.4423,0.0000
07,EM_BRANCO,0.4581,True,False,0.0000,0.4581,0.0000,0.0000,0.0000
08,EM_BRANCO,0.1975,True,False,0.1975,0.0000,0.0000,0.0000,0.0000
09,AMBIGUA,1.0000,False,True,0.0000,1.0000,0.4518,0.0000,0.0000
10,EM_BRANCO,0.0000,True,False,0.0000,0.0000,0.0000,0.0000,0.0000
