questao,resposta,confianca,em_branco,ambigua,fill_A,fill_B,fill_C,fill_D,fill_E
01,C,0.9392,False,False,0.0987,0.1050,0.9392,0.1195,0.1090
02,B,0.9007,False,False,0.1033,0.9007,0.1087,0.1056,0.1033
03,A,0.8633,False,False,0.8633,0.1033,0.1021,0.0967,0.0996
04,C,0.8200,False,False,0.1138,0.1136,0.8200,0.1036,0.0959
05,C,0.9307,False,False,0.1136,0.1141,0.9307,0.1081,0.0936
06,E,0.8277,False,False,0.1215,0.1213,0.1136,0.1078,0.8277
07,D,0.8422,False,False,0.1392,0.1372,0.1384,0.8422,0.1193
08,B,0.9130,False,False,0.1124,0.9130,0.1136,0.1067,0.1010
09,A,0.9167,False,False,0.9167,0.1155,0.1133,0.1124,0.1076
10,C,0.9367,False,False,0.1215,0.1241,0.9367,0.1215,0.1133
