questao,resposta,confianca,em_branco,ambigua,fill_A,fill_B,fill_C,fill_D,fill_E
01,C,0.9298,False,False,0.1127,0.1101,0.9298,0.1127,0.1076
02,B,0.9058,False,False,0.1150,0.9058,0.1187,0.1110,0.1053
03,A,0.8653,False,False,0.8653,0.1321,0.1155,0.1078,0.0984
04,C,0.8163,False,False,0.1372,0.1395,0.8163,0.1161,0.1007
05,C,0.9461,False,False,0.1358,0.1301,0.9461,0.1136,0.0999
06,E,0.8496,False,False,0.1404,0.1407,0.1355,0.1130,0.8496
07,D,0.8448,False,False,0.1572,0.1689,0.1641,0.8448,0.1381
08,B,0.9369,False,False,0.1261,0.9369,0.1435,0.1290,0.1184
09,A,0.9421,False,False,0.9421,0.1521,0.1486,0.1432,0.1327
10,C,0.9646,False,False,0.1546,0.1646,0.9646,0.1598,0.1529
