questao,resposta,confianca,em_branco,ambigua,fill_A,fill_B,fill_C,fill_D,fill_E
01,B,1.0000,False,False,0.0000,1.0000,0.0000,0.0000,0.0000
02,D,1.0000,False,False,0.0000,0.0000,0.0000,1.0000,0.0000
03,D,1.0000,False,False,0.0000,0.0000,0.0000,1.0000,0.0000
04,C,0.9937,False,False,0.0000,0.0000,0.9937,0.0000,0.0000
05,A,1.0000,False,False,1.0000,0.0000,0.0000,0.0000,0.0000
06,E,1.0000,False,False,0.0000,0.0000,0.0000,0.0000,1.0000
07,B,1.0000,False,False,0.0000,1.0000,0.0000,0.0000,0.0000
08,B,1.0000,False,False,0.0000,1.0000,0.0000,0.0000,0.0000
09,B,1.0000,False,False,0.0000,1.0000,0.0000,0.0000,0.0000
10,C,1.0000,False,False,0.0000,0.0000,1.0000,0.0000,0.0000
